"Timestamp","What 3 words would you use to describe IBL culture?","What do you like most about working in IBL?","What do you like least about working in IBL?","How happy are you as a member of IBL?","Is there something that could be done to make you happier? ","How integrated do you feel as a member of IBL?","How integrated do you feel as a member of your home lab?","Do you find integration in one (IBL vs home lab) interferes with the other?","Do you have personal responsibilities outside of work that impact your contributions to IBL?","Do you have someone within IBL with whom you feel comfortable sharing personal concerns (housing, financial, family, physical or mental health)?","What percentage of your time do you spend working for IBL?","Do you feel explicit or implicit pressure to work more hours than you feel is healthy?","Do you feel explicit or implicit pressure to work more hours on IBL projects than you would have liked?	","Do you feel explicit or implicit pressure to avoid taking vacations?","Have you experienced or witnessed a hostile work environment in IBL? (bullying, gender harassment, sexual harassment)","How well does IBL communicate as a whole?","What are some ways that we could improve communication in IBL?","Do you feel that IBL rules/policies are clear? Are there unspoken rules or policies that you feel should be more clearly communicated?","Are there policies you feel should be explicitly written? If so, please explain which ones.","Do you feel that the same rules of conduct apply to everyone in IBL? If not, please explain.","Do you feel empowered to make suggestions to improve IBL culture/organization?","If yes, to whom would you make such suggestions?","If no, can you explain why this is a challenge or difficulty?","Do you feel it is easy to get information from your colleagues in the IBL?","Do you feel it is easy to get information from IBL task force leader(s) or working group chairs you work with?","How useful do you find the various IBL working group and task force meetings?","Is there something that could make working group and task force meetings more useful or productive?","How useful do you find the Wednesday IBL lab meeting?","Is there something that could make Wednesday IBL meetings more useful or productive?","How easy is it for you to locate resources in the IBL?	","How often do you encounter issues that could have been averted if things were better organized?  (e.g., documentation is missing/poor quality, equipment problems, servers down.)","Please tell us more about the kinds of organizational issues you have encountered and any suggestions to improve such issues.","How supported do you feel by IBL PIs?","Do you feel you are getting adequate mentoring, career advice, and general guidance to succeed from within the consortium?","Do you feel the IBL adequately provides you with the tools and technologies you need?","What is your opinion of the level of technical support in the IBL?","What is your opinion of the level of administrative support in the IBL?","Do you feel you have adequate support to take on tasks in your task forces or working groups?","Do you feel that you have adequate opportunities to learn new skills in your task forces or working groups?","Do you feel that you have adequate opportunities to learn new skills on your personal project?","How do you feel about the level of feedback on your work in task forces or working groups? ","How do you feel about the level of feedback on your work on your personal project? ","How do you feel about the level of guidance from your IBL task force leader(s) or working group chairs?	","How do you feel about the level of guidance from your IBL home PI?","How do you feel about the level of guidance from your PIs on your personal project?","Do you have an IBL Mentor? If not, would you like one?","If yes, how useful do you find the Mentorship program?","If yes, is there something that could make these mentorship meetings more useful or productive?","How do you feel about the level of formal feedback you receive on your progress?","Would you like IBL to organize formal training in any of the following?","What is your impression of the funding of the IBL?","How much freedom do you feel you have to decide how you do your work for IBL?","Are there any aspects of the ways we collaborate that are not working? Please explain.","How familiar are you with the IBL's authorship policies?","Do you have any concerns about anticipated authorship on papers describing your IBL work on platform papers?","Do you have any concerns about anticipated authorship on papers describing your IBL work on personal projects?","If IBL had the funds to hire one more full-time person, what skills should that person have and what role would they play in the IBL?","Is there something that you experienced in a previous lab(s) that you wish we also did in IBL?","Are there any concerns or other areas of the IBL you believe could be improved that have not been addressed in previous questions? Please list any other areas you think could be improved or should be addressed.","Finally, did you find this survey useful? If yes, how often should the survey be conducted?","What role best describes your position in IBL?"
"2025/04/10 3:46:04 PM GMT+1","relaxed, interesting, wavering","Freedom and independent work","","2","Improving career prospects","4","1","No","No","No","10","4","4","4","3","3","Better top-down communication","The roles and duties of the PIs seems ill-defined for the next stage of funding. Some PIs appear to have little to no visibility within the organization.","","Staff roles and their duties seem ill-defined, perhaps with less accountability for managers and data scientists","Yes","The staff or Hannah","N/A","3","3","4","Reducing the frequency of them","","","3","2","Pipeline reliability is still lacking","1","2","4","3","3","3","3","3","2","","3","2","","Yes, I have one","2","More reminders. Frankly I forgot about the program","3","Writing grants;Time management;Programming/coding","4","1","","2","No","No","Project management","","","Twice a year",""
"2025/04/10 3:50:56 PM GMT+1","harassement, stressful, active","Members are smart. Possibility to work on different topics. Quality and impact of the work achieved. Large pool of colleagues to talk to. When harassement is experienced, possibility to create an alternate set of people who can engage with you. Networking opportunities enabled through conferences and self-organised events.","Lack of promotion opportunities. Ideas are not heard if not present at meetings. Contributions are not recognised. Lack of consideration for junior workers. Lack of mechanisms for conflict resolution when the conflict is with a high-ranked member. Harassment. Members are lead to burn out.","1","Be considered and valued. Obtain a promotion.","3","2","No","No","Yes","10","1","1","1","1","2","Internal: Written communication is poor. Emails and messages are often not responded to, leading to a fear of missing out on meetings.
External: Specific members put efforts towards public relations and act as spokespersons, but are not acknowledged for it. Listing a single spokesperson does not reflect our ways of working.","It is extremely rare that we need to refer to and follow policies. When put in practices, some of these policies have been found inadequate - and when needed to be amended, changes stalled. These policies are a great start but not effective nor sufficient.","Data sharing. Conflict resolution. Consequences for harassing behavior.","No. Witnessed bullying and harassement without any consequences to the bully.","No","","Changes can be brought forward, but they are very often not implemented. Representatives are great go-to persons, however they do not hold any power.","3","3","3","","3","Make it mandatory for PIs to come. ","3","3","","2","1","3","4","1","3","2","2","3","3","2","1","1","Yes, I have one","1","There has not been any mentorship meetings, nor review to assess the goodness of that program. My mentor is not adequate and does not care for my growth. There are no exit strategies in place as part of the program, it would be good to add one. I therefore asked in private for someone else to become my mentor, outside of the scope of the IBL mentorship program, and have simply not chased up my ""official"" mentor.","3","Giving talks;Writing grants;Writing papers;Time management;Programming/coding","3","2","Too many projects. PIs not realistic and pushing for their own ideas without holding the big picture in mind. The EB is not the right board to make decisions on projects, detached from the day-to-day work. Empower those who know instead.","3","How to write experimentalists and staff contributions is unclear. Authorship schemes on task forces / collaborative papers is not being discussed.","","","After conferences, meeting with the whole lab to debrief. Lab meeting besides our own work, e.g. on papers or advances in the field. This helps expand knowledge. Being sent to conferences and events simply as participants, without having to necessarily represent work","","I sincerely do not believe that this survey will lead to any changes, so to me this is a waste of time. I only do it because I value the time our representatives put into making it and wanted to respect that.","Prefer not to say"
"2025/04/10 4:13:54 PM GMT+1","collaborative, supportive, slow'n'steady","the people","the pace can be slow, not because of lack of motivation, but lack of personnel (or, current personnel being overstretched)","4","more and smaller but interconnected projects","4","","Home lab can often feel like it takes precendence","occasionally","Yes","5","4","4","4","3","3","Oftentimes the top-down communication is sufficient, but it is rather a lack of engagement/interest from individuals that can keep that communication from being effective. Clear moments where the entire collaboration can sync (like the IBL annual meeting) are enormously helpful (or can be) for getting everybody on the same page.","They are clear but can be difficult to locate.","","","Yes","IBL researcher's representative","","4","4","3","Working groups are fine; for the task forces, oftentimes there is a lack of a clear goal. Although the exploratory nature of much of what we do is valuable, when pushed for too long it can become demoralizing and frustrating. Clear goals, with clear deadlines, would make it easier to be more productive within the context of a task force (especially when juggling multiple projects within or outside of the IBL).","3","Because they are not consistent I often schedule (accidentally) other meetings at the same time.","2","3","Can we make an LLM to search the IBL google drive?","4","4","4","3","4","4","4","4","2","2","3","4","4","No, and I don't want one","","","","Writing grants;Writing papers","4","3","","4","No","No","(1) extra hardware engineer; or (2) jack-of-all-trades software engineer","","","Yes! Every year is good.","Staff"
"2025/04/10 5:04:00 PM GMT+1","Rewarding, methodical, caring","I enjoy the thought that the work I do will be used for projects exploring different facets of the brain for years to come.","Large time difference between our lab and the Staff makes it difficult to some times get support in a timely manner.","4","","2","4","No","No","Yes","10","4","4","3","4","3","","Yes","How to get problems officially in a staff sprint","Yes","Yes","My PI","","3","4","2","More direct discussion","1","I'm not aware of a Wednesday IBL lab meeting?","2","2","","4","3","4","4","4","4","4","4","2","2","2","3","2","No, and I don't want one","","","","","2","3","","3","No","No","More technical staff support","","","This survey had lots of questions that didn't seem to apply to my circumstances but I think I am in the vast minority in terms of IBL members (NonPhD track) so that is to be expected. ","Prefer not to say"
"2025/04/10 10:29:35 PM GMT+1","Diverse, collaborative, helpful","Diversity of expertise and team science","Some industry standards for project management","3","Another big task force project","4","3","no","no","Yes","10","3","3","3","4","3","","Yes, overall clear","","yes","Yes","Staff representative ","","4","4","4","","3","","3","3","","4","4","4","4","4","4","4","4","2","2","3","3","3","No, and I don't want one","3","","2","","3","3","","3","","","","","","yearly","Staff"
"2025/04/11 12:46:23 AM GMT+1","Collaborative, diverse science, helpful staff","","","4","","4","4","","","","7","","","","4","4","","","","","","","","4","","","","","","","","","4","","","","4","","","","","","","3","3","","","","","Writing grants","3","","","2","","","","","","","Postdoc"
"2025/04/11 1:23:17 PM GMT+1","Collaborative, professional, scientific","Collaboration with excellent colleagues","Difficulty knowing what's happening","3","","3","4","Some tension but not much.","","No","3","3","3","3","3","2","More informal meetings, but this is difficult given the geography.","Yes","","","Yes","Hannah or EB","","3","","3","","2","","2","","","","","","","4","","","","","","","","","","","","","","4","2","","4","","","","","","Probably a bit long. ","PI"
"2025/04/11 2:29:57 PM GMT+1","Collaborative, interesting, chasing","Distributed nature, different projects","Lack of clear targets, deliverables","3","","3","2","","","Yes","10","4","4","4","3","2","","","","","","","","3","3","3","","2","","2","1","","3","2","4","3","3","4","4","4","2","2","2","2","2","No, and I want one","","","3","Giving talks;Writing papers;Time management","4","2","","3","","","","","","","Staff"
"2025/04/11 3:36:44 PM GMT+1","Open, Friendly, Collaborative","The core staff are supportive and skilled.","The peers are more competitive than collaborative.","3","I would like support from my supervisors.","4","1","No","No","Yes","10","4","3","4","4","4","Each personal project can submit a corresponding GitHub repository.","Yes, the rules are clear.","No","Yes","Yes","Hannah Bayer","","4","4","3","Begin with the take-home message and why we should care.","3","A summary of pros and cons in the presentation from experienced PIs","4","3","Spike-sorting re-runs changing brain region labels","3","4","4","4","4","4","4","4","4","3","4","1","1","No, and I don't want one","1","Meetings with home PI","4","Giving talks;Writing grants;Writing papers;Time management;Programming/coding","4","1","","4","No","I am concerned about my home PIs and their authorship on my personal project.","Programmer; Ensure task code is running well","One slide per person on what they're doing for collaborations; setting up collaborations at annual meeting","Assessment of data quality from people inside and outside IBL (benchmark)A","Annual","Student"
"2025/04/14 2:44:11 PM GMT+1","scattered disengaged interesting ","the mix of people backgrounds and scientific interests, access to excellent PIs and researchers, ideas, methods and implementation of open science and large collaborative environment ","I find it  hard to feel a scientific drive from the organization ","4","lab meetings!!! more scientific exchange ","3","3","not really ","yes ","Yes","2","4","4","3","3","2","Have more short global catch up about what everyone is up to ","they are clear enough but hard to find! ","","","Yes","Hannah, Olivier, Gaelle ","","2","","3","","","Bring them back!","1","","","4","4","4","","4","3","","3","","1","","2","","Yes, I have one","2","I haven't met much with my mentor. ","3","","3","1","","2","It's hard to find a fair system. Why is Eric Dewitt author on all papers? The alphabetical rule feels somewhat unfair ","","","","","","Postdoc"
"2025/04/14 6:37:02 PM GMT+1","almost always positive","challenging and diverse tasks","workload at times overwhelming","2","","3","2","no","life","Yes","10","2","","4","3","4","","","","yes","Yes","colleagues","","3","3","3","","","","3","","","","","3","","4","","","","","","","","","","","","","Time management","4","2","","1","","","","","","yes, once a year should do","Prefer not to say"
"2025/04/15 12:04:27 AM GMT+1","Driven, creative, hard-working","The colleagues are amazing!","The difference in timezones can make meetings really hard. ","3","","4","4","I am a PI so my perspective may be different. It is definitely a challenge to balance both IBL and non-IBL work. But this is just because it feels like there aren't enough hours in the day! In many ways, the efforts of the two dovetail. ","yes, family","Yes","3","4","4","4","3","3","","Yes","","","Yes","Hannah","","4","4","4","","3","","3","4","","","","4","4","4","4","4","4","4","","","","","","4","","","","4","4","I am a PI so perhaps this doesn't apply to me. ","4","no","","More project management","","","","PI"
"2025/04/15 2:12:36 PM GMT+1","standardization, parallel, bureaucratic","standardization, funding has been great, people generally nice","projects have taken much longer than anticipated to finish","2","","2","3","no","no","Yes","10","2","3","3","3","2","","","","","Yes","Hannah","","3","3","2","","2","","2","3","","2","2","4","3","4","3","2","3","3","3","2","2","3","Yes, I have one","3","","2","","3","3","","4","","","","","","","Postdoc"
"2025/04/15 2:38:20 PM GMT+1","community, focus, curiosity","Community effort ","Sometimes there is too much information","4","","4","4","No","","No","10","4","4","4","4","3","","","","","Yes","Hannah Bayer","","4","4","4","","2","","3","2","","3","2","4","4","4","3","3","3","3","3","3","2","2","No, and I want one","","","4","Giving talks;Writing papers;Time management","3","2","","4","No","No","","No","No","Yes, twice a year","Prefer not to say"
